"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Shai Gilgeous-Alexander","Okc","G","26.5","42","34.2","34.5","11.2","348","0.902","648","0.599","244","0.348","0.578","0.643","32","5.4","6.1","2.1","1.1","2.7","37.4","38.1","43.5","11.9","126.6","102.4"
"","Giannis Antetokounmpo","Mil","F","30.1","35","34.9","36.3","14.6","375","0.587","700","0.621","26","0.154","0.607","0.618","31.5","12","6","0.8","1.4","3.5","43.5","37.5","49.5","15.1","118.6","103.9"
"","Nikola Jokic","Den","C","29.9","37","36.4","30.4","13.1","237","0.81","590","0.586","159","0.478","0.614","0.652","30.1","13.2","9.9","1.9","0.6","3.1","43.2","39.9","53.1","17.3","132.4","106.5"
"","LaMelo Ball","Cha","G","23.4","29","34.2","37.2","13.7","164","0.835","331","0.511","364","0.335","0.506","0.548","29","5.4","7.5","1.3","0.3","3.8","34.4","36.5","42","12.3","111.3","106.9"
"","Luka Doncic","Dal","F-G","25.9","22","35.7","32.9","13.9","146","0.767","254","0.555","212","0.354","0.544","0.584","28.1","8.3","7.8","2","0.4","3.4","36.5","36","44.3","13.7","115.8","105.1"
"","Jayson Tatum","Bos","F-G","26.9","41","36.5","30.9","12.3","272","0.798","406","0.564","423","0.355","0.548","0.593","27.4","9.2","5.5","1.3","0.5","2.8","36.6","32.9","42.1","12.2","117.4","103.7"
"","Kevin Durant","Pho","F","36.3","33","35.9","30.5","14.3","216","0.829","433","0.582","185","0.384","0.58","0.628","27.2","6.5","4.1","0.8","1.4","3.1","33.6","31.2","37.7","10","114.6","114.5"
"","Tyrese Maxey","Phi","G","24.2","35","37.7","30.9","10.2","202","0.856","413","0.504","336","0.333","0.502","0.552","26.4","3.5","5.9","2","0.4","2.4","29.9","32.3","35.8","8.7","112.1","113"
"","Anthony Edwards","Min","G","23.5","44","36.7","30.7","14.3","219","0.836","458","0.454","432","0.426","0.544","0.583","26.2","5.8","4.3","1.2","0.5","3.4","31.9","30.5","36.2","9.5","110.2","109.4"
"","Jalen Brunson","Nyk","G","28.4","44","35.3","29.6","11.5","311","0.817","548","0.531","261","0.391","0.549","0.604","26","3","7.3","0.9","0","2.4","28.9","33.3","36.2","9.4","124","112.9"
"","Devin Booker","Pho","G","28.2","38","36.7","29.3","11.4","264","0.89","421","0.515","295","0.346","0.517","0.586","25.7","3.9","6.6","1.2","0.3","2.4","29.6","32.3","36.2","9.5","119.5","115.4"
"","Anthony Davis","Lal","F-C","31.9","38","34.9","29.9","11","293","0.782","597","0.554","88","0.318","0.545","0.599","25.7","11.9","3.5","1.3","2.2","2.2","37.6","29.2","41.1","11.7","119.5","108.3"
"","De'Aaron Fox","Sac","G","27.1","40","37.2","29.3","13.8","237","0.823","540","0.548","249","0.317","0.525","0.573","25.6","5.2","6.3","1.6","0.4","3.2","30.8","31.9","37","10.1","113.3","109.5"
"","Paolo Banchero","Orl","F","22.2","11","32","34.7","14.8","102","0.667","141","0.511","60","0.367","0.522","0.565","25.3","7.9","4.5","0.6","0.8","3.2","33.2","29.8","37.7","12.1","109","104.8"
"","Karl-Anthony Towns","Nyk","C-F","29.2","40","34.9","27.4","13.8","238","0.836","467","0.591","194","0.433","0.608","0.655","25.1","13.9","3.5","1","0.9","2.7","39","28.5","42.4","12.3","125.7","100.8"
"","Damian Lillard","Mil","G","34.5","34","36.1","27.8","14.4","226","0.92","282","0.511","301","0.392","0.551","0.623","25","4.4","7.1","1.3","0.2","2.9","29.4","32.1","36.5","10.2","122.1","110.1"
"","Cam Thomas","Bro","G","23.3","19","32.3","31.8","13.1","129","0.876","193","0.503","144","0.375","0.528","0.596","24.7","3.6","3.4","0.7","0.1","2.7","28.3","28.1","31.7","8.3","112.2","115.9"
"","Cade Cunningham","Det","G","23.3","40","35.6","32.2","18.7","183","0.814","554","0.496","256","0.371","0.515","0.552","24.6","6.5","9.4","0.9","0.9","4.7","31.1","34","40.5","12.9","108.6","108.5"
"","Kyrie Irving","Dal","G","32.8","34","35.8","27","11.1","134","0.903","390","0.518","241","0.427","0.565","0.604","24.5","4.5","4.9","1.3","0.4","2.3","29.1","29.4","33.9","9.1","119.3","111.7"
"","Joel Embiid","Phi","C-F","30.9","13","29.4","35.7","15.7","112","0.92","170","0.488","49","0.327","0.489","0.591","24.4","7.9","3.8","0.8","1","3.2","32.3","28.2","36.2","12.3","114.2","108.7"
"","Victor Wembanyama","San","F-C","21.1","36","33.1","31.1","15.4","142","0.845","353","0.584","328","0.354","0.558","0.592","24.4","10.8","3.7","1.1","4","3.4","35.2","28.1","38.9","12","108","106"
"","Franz Wagner","Orl","F","23.4","25","33.2","31.1","11.4","135","0.881","314","0.538","159","0.321","0.519","0.573","24.4","5.6","5.7","1.7","0.5","2.4","30","30.1","35.7","11.1","115.3","104.3"
"","Tyler Herro","Mia","G","25","41","35.3","27","12","164","0.866","321","0.567","393","0.407","0.591","0.627","24","5.7","5","0.7","0.1","2.4","29.7","29.1","34.8","10","118.8","112"
"","Zach LaVine","Chi","G","29.9","39","34","26.6","14.5","158","0.816","384","0.56","280","0.45","0.608","0.639","24","4.8","4.5","0.9","0.3","2.9","28.8","28.5","33.3","9.5","114.9","116.1"
"","Norman Powell","Lac","G","31.7","35","32.9","27.5","11.2","161","0.832","307","0.534","279","0.441","0.595","0.633","23.7","3.4","2.2","1.3","0.1","2.1","27.2","26","29.4","6.8","117.3","107.8"
"","LeBron James","Lal","F","40.1","38","35","29.6","17.6","160","0.763","461","0.566","216","0.398","0.576","0.603","23.7","7.5","9","0.9","0.6","3.8","31.2","32.7","40.2","13.4","115.4","113.1"
"","Donovan Mitchell","Cle","G","28.4","41","31.2","30.4","9.6","161","0.832","383","0.488","374","0.396","0.54","0.575","23.2","4.5","4.5","1.4","0.2","2","27.7","27.7","32.2","10","115.3","108.5"
"","Jaylen Brown","Bos","G-F","28.2","37","35.6","29.2","13.2","204","0.765","466","0.515","227","0.326","0.506","0.548","23.2","5.9","4.8","1.3","0.3","2.8","29.1","28","33.9","9.8","110.4","106.5"
"","Trae Young","Atl","G","26.3","40","36","28.2","20.4","281","0.865","355","0.454","342","0.348","0.487","0.562","23.1","3.4","11.6","1.4","0.3","4.5","26.5","34.7","38.1","10.8","113.3","114.4"
"","Jaren Jackson Jr.","Mem","F-C","25.4","42","29.4","29.2","11.5","233","0.781","491","0.558","217","0.336","0.542","0.585","22.6","6.4","2","1.4","1.6","2.2","29","24.6","31","9","113.5","101.5"
"","Stephen Curry","Gol","G","36.9","35","31.7","28.3","15.1","116","0.94","221","0.52","371","0.407","0.577","0.616","22.6","4.9","6.3","1.1","0.5","3","27.5","28.9","33.8","11.2","117.3","112.8"
"","CJ McCollum","Nor","G","33.3","31","33.6","27.2","8.1","100","0.71","312","0.522","266","0.372","0.539","0.558","22.4","3.7","3.8","0.8","0.6","1.6","26.1","26.2","29.9","8.1","112.3","117"
"","RJ Barrett","Tor","F-G","24.6","35","33.5","29.4","15.1","203","0.69","428","0.523","192","0.333","0.516","0.55","22.3","6.7","5.9","0.8","0.4","3.1","29","28.2","34.9","11.4","107.9","113.8"
"","Brandon Ingram","Nor","F","27.4","18","33.1","30.1","17.1","55","0.855","218","0.514","115","0.374","0.53","0.56","22.2","5.6","5.2","0.9","0.6","3.8","27.8","27.4","32.9","10.4","103.4","114.5"
"","Zion Williamson","Nor","F","24.5","10","28.9","35","16.7","85","0.624","159","0.503","10","0.2","0.491","0.531","21.9","8.2","5.4","1.2","1.2","3.4","30.1","27.3","35.5","13.7","106.7","110"
"","DeMar DeRozan","Sac","G-F","35.5","38","35.8","24.7","7.9","206","0.864","540","0.511","101","0.327","0.508","0.567","21.8","3.8","3.8","1.3","0.4","1.4","25.7","25.6","29.4","7.6","116.6","112"
"","Trey Murphy III","Nor","F","24.6","28","35","23.4","9","129","0.907","202","0.559","243","0.358","0.547","0.602","21.6","5","2.9","1.2","0.8","1.6","26.6","24.5","29.5","7.8","120.2","115.6"
"","Jordan Poole","Was","G","25.6","35","31","29.1","18.1","157","0.86","245","0.461","321","0.402","0.542","0.589","21.4","3","4.7","1.5","0.4","3.6","24.4","26","29","8.7","106.4","114.2"
"","Jalen Green","Hou","G","23","43","32.8","26.9","12.5","172","0.872","401","0.494","342","0.36","0.515","0.559","21.3","4.3","2.7","1","0.3","2.5","25.6","24","28.3","7.7","110.6","108.4"
"","James Harden","Lac","G","35.4","40","33.6","30.1","22.5","269","0.888","303","0.449","331","0.344","0.484","0.567","21.3","5.8","8.1","1.4","0.6","4.6","27.1","29.5","35.2","11.9","108.2","105.6"
"","Darius Garland","Cle","G","25","42","30.1","27.3","13.6","150","0.873","352","0.554","287","0.429","0.594","0.631","21.2","2.5","6.7","1.1","0.2","2.4","23.7","27.9","30.4","9.4","124.5","110.3"
"","Ja Morant","Mem","G","25.5","26","28.6","31.7","19.5","168","0.815","289","0.509","127","0.307","0.494","0.559","21.1","4.3","7.7","1.3","0.3","3.9","25.3","28.8","33.1","12.4","110.7","108.3"
"","Brandon Miller","Cha","F","22.2","27","34.2","27.4","13.4","79","0.861","198","0.475","293","0.355","0.509","0.54","21","4.9","3.6","1.1","0.7","2.8","25.9","24.7","29.5","8.4","105.4","110.6"
"","Domantas Sabonis","Sac","F-C","28.7","40","36.1","21.8","17.9","171","0.778","444","0.633","97","0.485","0.65","0.678","20.9","14.3","6.2","0.7","0.5","3","35.2","27.1","41.4","13.6","130.1","103"
"","Jalen Williams","Okc","G-F","23.8","42","32.5","27.5","12.1","158","0.785","502","0.532","207","0.338","0.525","0.557","20.7","5.6","5.1","1.8","0.7","2.3","26.3","25.8","31.4","10.3","111.1","100.6"
"","Nikola Vucevic","Chi","C","34.3","43","32.3","22.6","9.3","94","0.809","444","0.619","202","0.411","0.618","0.636","20.3","10.4","3.4","0.9","0.7","1.5","30.7","23.7","34.1","11.1","124.9","110"
"","Pascal Siakam","Ind","F","30.8","43","33.3","23.1","7.7","165","0.745","454","0.57","185","0.405","0.581","0.608","20.1","7.3","3.4","0.9","0.3","1.2","27.5","23.5","30.9","9.5","123","109.9"
"","Lauri Markkanen","Uta","F-C","27.7","32","31.7","24.3","8.6","154","0.883","205","0.512","270","0.363","0.531","0.59","20","6.1","1.8","0.8","0.3","1.4","26.1","21.8","27.9","7.6","120.8","116.9"
"","Scottie Barnes","Tor","F-G","23.5","30","34.7","26.4","16.9","126","0.73","342","0.547","155","0.277","0.506","0.539","19.8","8.1","6.6","1.5","0.9","3.4","27.9","26.5","34.5","11.7","106.7","113.5"
"","Jamal Murray","Den","G","27.9","37","35.8","23.6","12.4","135","0.867","383","0.493","210","0.376","0.519","0.561","19.8","4","6","1.5","0.6","2.3","23.8","25.8","29.8","8.7","113.8","113"
"","Cameron Johnson","Bro","F","28.9","35","32.3","22.4","11.5","128","0.898","193","0.591","267","0.419","0.613","0.658","19.4","4.1","2.9","0.8","0.5","1.7","23.5","22.3","26.4","7.6","123.4","115.9"
"","Jalen Johnson","Atl","F","23.1","35","36.4","22.3","16.1","124","0.75","400","0.565","141","0.312","0.54","0.568","19.3","10.3","5.1","1.6","1","3","29.6","24.5","34.7","11","109.5","110.2"
"","Alperen Sengun","Hou","C","22.5","43","31.3","26.7","13.7","212","0.712","612","0.516","62","0.226","0.5","0.538","19.2","10.5","5","1.3","0.9","2.5","29.7","24.2","34.7","12.8","114.5","100.3"
"","De'Andre Hunter","Atl","F-G","27.1","30","28.1","24.4","9.9","146","0.856","203","0.517","195","0.405","0.562","0.619","19.1","3.8","1.5","0.9","0.1","1.5","22.8","20.6","24.3","6.8","118.3","110.9"
"","Daeqwon Plowden","Atl","G-F","26.4","1","25.3","14.4","11.1","0","0","2","1","6","0.833","1.188","1.188","19","4","0","0","0","1","23","19","23","0","171.7","106.8"
"","Julius Randle","Min","F-C","30.2","44","33","25.4","17.4","234","0.808","411","0.535","202","0.332","0.523","0.58","18.9","7.3","4.5","0.7","0.2","2.9","26.2","23.4","30.7","10.3","113.8","106.4"
"","Kristaps Porzingis","Bos","F-C","29.5","19","28.1","25.4","6.6","92","0.837","142","0.528","112","0.384","0.549","0.604","18.7","7.1","1.6","0.7","1.4","0.9","25.8","20.4","27.5","8.5","124.7","102.9"
"","Evan Mobley","Cle","C","23.6","38","30.2","23.1","14","155","0.774","366","0.617","107","0.421","0.621","0.653","18.6","8.8","2.9","0.9","1.4","2","27.4","21.5","30.3","10.3","124.3","105.8"
"","Miles Bridges","Cha","F","26.8","27","31.6","25.3","11.9","96","0.885","233","0.524","181","0.315","0.501","0.548","18.5","7.4","3.7","0.7","0.6","2.1","25.9","22.2","29.6","10.1","111","111.6"
"","Dennis Schroder","Bro","G","31.4","23","33.6","23.8","15.3","81","0.889","175","0.509","150","0.387","0.542","0.588","18.4","3","6.6","1.1","0.2","2.6","21.4","25","28","8.5","115.3","113.9"
"","Austin Reaves","Lal","G","26.7","36","34.9","23","15.1","151","0.841","243","0.523","257","0.362","0.533","0.583","18.3","4.1","6","1.1","0.2","2.5","22.5","24.4","28.5","8.8","115","113.5"
"","Collin Sexton","Uta","G","26.1","40","29","25.9","16.1","146","0.89","364","0.514","184","0.413","0.549","0.598","18.3","2.9","4.1","0.7","0.1","2.6","21.2","22.4","25.2","8.3","115","116.7"
"","Coby White","Chi","G","24.9","40","32.6","23.1","14.4","127","0.874","240","0.538","330","0.364","0.542","0.582","18.2","3.4","4.7","1","0.2","2.4","21.6","22.9","26.3","8.1","110.3","114.2"
"","Anfernee Simons","Por","G","25.6","39","32","24.6","12.6","94","0.904","287","0.481","317","0.366","0.517","0.549","18.2","2.7","4.9","0.9","0.1","2.2","20.9","23.1","25.8","7.8","110.9","118.3"
"","Michael Porter Jr.","Den","F","26.6","43","33.3","20.1","9","110","0.709","307","0.603","268","0.418","0.614","0.629","18.2","6.5","2.3","0.6","0.4","1.3","24.7","20.6","27.1","7.8","122","111.8"
"","John Collins","Uta","F-C","27.3","28","29.8","23.7","17.4","107","0.869","258","0.562","92","0.446","0.59","0.637","18.1","8.4","2.5","1.1","0.9","2.6","26.5","20.5","28.9","9.7","117.3","109.3"
"","Shaedon Sharpe","Por","G","21.7","35","31.5","24.3","11.5","113","0.805","303","0.551","218","0.312","0.516","0.551","18","3.9","2.7","0.8","0.3","1.9","21.9","20.7","24.6","7.3","108.8","117.7"
"","Tyrese Haliburton","Ind","G","24.9","42","34.5","21.5","11.8","135","0.859","246","0.565","335","0.355","0.546","0.586","17.9","3.6","8.8","1.2","0.6","1.9","21.5","26.7","30.3","9.6","124.3","116.4"
"","Mikal Bridges","Nyk","G-F","28.4","45","38.6","19.3","9.2","52","0.731","370","0.603","304","0.352","0.569","0.578","17.9","3.1","3.2","1","0.5","1.5","21","21","24.1","5.8","114.6","116.3"
"","Desmond Bane","Mem","G","26.6","35","29.8","22.6","15.6","89","0.865","261","0.582","205","0.385","0.58","0.612","17.7","5.5","5.3","1.3","0.5","2.5","23.2","22.9","28.5","10.8","118.3","105.4"
"","Malik Monk","Sac","G","27","35","31.6","23.7","11.8","104","0.894","254","0.539","246","0.341","0.526","0.567","17.7","3.7","5.6","1","0.5","1.9","21.3","23.3","26.9","9.1","115.3","109.6"
"","Jaden Ivey","Det","G","22.9","30","29.9","26.2","17.7","116","0.733","259","0.49","154","0.409","0.536","0.569","17.6","4.1","4","0.9","0.4","3","21.7","21.6","25.7","8.8","107.2","110.3"
"","Dejounte Murray","Nor","G","28.3","27","33.5","26.8","17.8","97","0.825","279","0.43","159","0.302","0.438","0.483","17.2","6.6","7.7","2.2","0.4","3.5","23.7","24.9","31.4","11.4","99.3","112.4"
"","Bradley Beal","Pho","G","31.6","30","32.7","22.6","12.3","68","0.75","254","0.547","158","0.386","0.559","0.579","17.1","3.6","3.3","1.1","0.7","1.9","20.6","20.4","23.9","7.2","109.2","113.1"
"","Paul George","Phi","F","34.7","28","32.6","25.1","15.4","74","0.824","225","0.48","186","0.355","0.504","0.535","17","5.8","4.9","1.8","0.4","2.7","22.8","21.9","27.7","9.6","104.4","108.4"
"","Andrew Wiggins","Gol","F","29.9","37","29.6","23.2","9","138","0.783","282","0.489","212","0.387","0.528","0.568","17","4.5","2.3","0.9","0.8","1.3","21.6","19.3","23.8","7.6","115.1","112"
"","Jimmy Butler","Mia","F","35.4","25","30.6","21","10.2","161","0.801","227","0.568","36","0.361","0.565","0.638","17","5.2","4.8","1.1","0.4","1.2","22.3","21.8","27.1","9.8","135.6","113.8"
"","Jonathan Kuminga","Gol","F","22.3","32","26","27.6","10.6","169","0.639","307","0.502","116","0.345","0.506","0.539","16.8","5","2.2","0.9","0.6","1.6","21.7","18.9","23.9","8.8","107.8","108.9"
"","Keyonte George","Uta","G","21.2","32","31.6","24.6","17.6","112","0.804","196","0.444","252","0.349","0.489","0.531","16.5","3.5","5.8","0.8","0.2","3","20","22.3","25.8","8.8","106.6","118"
"","Chet Holmgren","Okc","C-F","22.7","10","26.5","25.1","17.1","49","0.776","74","0.568","37","0.378","0.568","0.619","16.4","8.7","2","0.8","2.6","2.3","25.1","18.4","27.1","9.9","113.5","98.3"
"","Jalen Suggs","Orl","G","23.6","34","29","27.3","17.3","107","0.907","236","0.508","237","0.312","0.488","0.537","16.4","4.1","3.7","1.5","1","2.9","20.5","20.1","24.2","8.7","100.9","102.2"
"","Devin Vassell","San","G-F","24.4","26","29.7","24","10.9","62","0.774","200","0.495","161","0.366","0.519","0.545","16.3","3.8","3.1","1.2","0.5","1.7","20","19.4","23.2","7.8","106.8","112.6"
"","Bennedict Mathurin","Ind","G-F","22.6","42","32.6","21.7","14.6","171","0.819","344","0.517","176","0.358","0.524","0.575","16.3","6","2","0.6","0.4","2.1","22.4","18.3","24.3","7.1","107.5","110.8"
"","Immanuel Quickley","Tor","G","25.6","9","28.5","25.8","11.2","32","0.938","69","0.406","58","0.345","0.457","0.517","16.2","2.2","6.1","0.7","0.1","1.8","18.4","22.3","24.6","8.4","111.8","118.5"
"","Malik Beasley","Det","G","28.2","44","28","23.1","8","72","0.694","180","0.489","407","0.398","0.564","0.575","16.2","2.9","1.8","0.9","0","1.2","19.1","18","20.9","6.3","112.5","113.2"
"","Gradey Dick","Tor","G-F","21.2","37","30.5","22.6","10.8","117","0.88","246","0.48","247","0.348","0.501","0.548","16.1","3.3","2.1","0.8","0.2","1.6","19.4","18.2","21.5","6.3","107.8","116.7"
"","Derrick White","Bos","G","30.6","42","33.9","19.6","11.7","84","0.833","159","0.591","376","0.37","0.565","0.59","16.1","4.4","4.1","0.9","1.2","1.7","20.5","20.2","24.6","7.8","118.9","108.8"
"","O.G. Anunoby","Nyk","F-G","27.5","45","36.7","18.1","9.7","108","0.806","316","0.576","259","0.344","0.549","0.577","16","4.8","2","1.4","0.9","1.4","20.8","17.9","22.8","5.8","114.7","111.1"
"","Jordan Clarkson","Uta","G","32.6","22","25.6","28.4","16.1","90","0.811","167","0.467","120","0.342","0.486","0.539","16","3.4","3.8","0.9","0.3","2.5","19.4","19.8","23.2","9.2","106.6","116.8"
"","Mark Williams","Cha","C","23.1","18","23.4","23.2","10.6","78","0.756","176","0.636","1","0","0.633","0.67","15.7","9.4","2.3","0.7","1.1","1.2","25.2","18.1","27.5","11.9","135.1","103.5"
"","Bam Adebayo","Mia","C-F","27.5","41","33.5","22.5","13.5","164","0.72","440","0.498","103","0.272","0.481","0.52","15.6","9.7","4.5","1.4","0.8","2.1","25.3","20.1","29.8","10.5","109.5","106"
"","Myles Turner","Ind","C-F","28.8","40","31.2","20.5","14.9","119","0.739","254","0.559","203","0.404","0.58","0.607","15.5","7.1","1.5","0.8","2","2","22.5","17","24","7","109.5","108"
"","Jared McCain","Phi","G","20.9","23","25.7","25","11.9","56","0.875","141","0.532","133","0.383","0.553","0.589","15.3","2.4","2.6","0.7","0","1.6","17.7","17.9","20.3","7.1","112.9","114.7"
"","Fred VanVleet","Hou","G","30.9","40","35.8","18.5","10.6","95","0.821","226","0.46","314","0.344","0.493","0.524","15.3","4.1","5.9","1.7","0.5","1.6","19.3","21.1","25.2","8","116.9","106"
"","Ivica Zubac","Lac","C","27.9","41","31.8","18.9","14","118","0.559","447","0.615","0","0","0.615","0.617","15","12.7","2.6","0.7","1.3","1.8","27.7","17.6","30.2","10","122","103.1"
"","Jerami Grant","Por","F","30.9","32","32.4","20","10.3","114","0.833","197","0.386","203","0.379","0.479","0.531","14.9","3.5","2.2","0.8","1.1","1.4","18.4","17.1","20.6","6","108.4","116.4"
"","D'Angelo Russell","Bro","G","28.9","7","24.4","26.6","16.2","26","0.962","36","0.444","41","0.366","0.5","0.577","14.6","3","8.3","1.6","0.7","2.1","17.6","22.9","25.9","11.7","123.2","109.1"
"","Jakob Poeltl","Tor","C","29.3","38","31.4","18.3","15.9","108","0.639","395","0.615","2","0","0.612","0.624","14.6","10.4","2.6","1.2","1.2","2","25","17.2","27.6","9.3","119.2","107.7"
"","Payton Pritchard","Bos","G","27","44","27.7","19.4","9","57","0.842","122","0.639","351","0.41","0.622","0.638","14.5","3.6","3.4","0.8","0.1","1.1","18","17.9","21.4","8.1","130.5","109.2"
"","Kyle Kuzma","Was","F","29.5","25","27.4","26","15.2","75","0.587","222","0.509","113","0.257","0.467","0.485","14.3","5.4","2.6","0.7","0.2","2.4","19.7","16.9","22.3","8.5","91.7","117.8"
"","Deni Avdija","Por","F","24.1","40","28.5","21.5","18.7","159","0.767","248","0.54","170","0.347","0.532","0.581","14.2","6.6","3.3","1.1","0.6","2.4","20.7","17.5","24","9.5","110.6","112.2"
"","Tre Mann","Cha","G","24","13","24.5","25.8","13.4","21","0.905","101","0.455","60","0.4","0.509","0.537","14.1","2.9","3","0.5","0.3","1.9","17","17.1","20","8.1","106.5","112.8"
"","Jarrett Allen","Cle","C","26.8","43","28.8","15.9","11.6","149","0.745","349","0.711","1","0","0.709","0.73","14.1","10","1.9","1","1","1.1","24.2","16","26.1","9","143.8","106.7"
"","Josh Hart","Nyk","G","29.9","44","37.8","14.6","17.1","118","0.814","269","0.665","149","0.362","0.622","0.655","14","9.6","5.6","1.5","0.3","2","23.6","19.6","29.2","9.6","130.9","107.2"
"","Christian Braun","Den","G","23.8","42","32.8","15.1","9.5","110","0.818","295","0.644","104","0.365","0.619","0.653","13.9","4.7","1.9","1","0.6","1","18.6","15.8","20.5","6.1","128","111"
"","Malcolm Brogdon","Was","G","32.1","18","24.9","23.8","13.8","70","0.886","146","0.486","48","0.313","0.482","0.554","13.8","4.1","3.9","0.6","0.3","1.7","17.9","17.8","21.8","9.7","112.5","119.5"
"","Deandre Ayton","Por","C","26.5","32","30","19","12.8","33","0.606","336","0.601","30","0.2","0.577","0.581","13.8","10.2","1.5","0.8","1","1.7","24","15.3","25.5","7.9","112","111.4"
"","Kawhi Leonard","Lac","F","33.6","5","21.8","25.6","8.3","10","0.8","38","0.553","17","0.353","0.545","0.572","13.6","2.6","1.6","1.2","0","1","16.2","15.2","17.8","7","112.1","111.4"
"","Naz Reid","Min","C-F","25.4","44","25.2","21.7","10.3","83","0.783","235","0.549","226","0.407","0.579","0.602","13.6","5.2","1.7","0.8","0.8","1.2","18.8","15.3","20.5","7.8","116","103.1"
"","Klay Thompson","Dal","G","35","38","27.5","21.1","10.6","40","0.9","156","0.468","292","0.38","0.535","0.553","13.6","3.4","2","0.9","0.4","1.4","16.9","15.5","18.9","6.6","107.3","113.4"
"","P.J. Washington","Dal","F","26.4","37","32.5","18.9","13.8","111","0.748","263","0.475","154","0.364","0.501","0.538","13.5","7.8","2.2","1.2","0.9","1.8","21.3","15.7","23.5","7.6","106.1","106.8"
"","Kelly Oubre Jr.","Phi","F-G","29.1","39","33.4","18.2","10","103","0.748","275","0.56","166","0.283","0.509","0.541","13.5","5.8","1.6","1.5","0.5","1.3","19.3","15.1","20.9","6","109","109"
"","Aaron Gordon","Den","F","29.4","22","26.9","18.4","14","82","0.793","128","0.594","62","0.435","0.613","0.659","13.5","5.3","2.7","0.4","0.2","1.4","18.8","16.3","21.5","8.6","127.9","111.9"
"","Jeremy Sochan","San","F","21.7","22","29.1","19.3","15.1","70","0.729","179","0.587","40","0.275","0.555","0.588","13.4","8","2.6","0.9","0.6","1.8","21.4","16","24","9","115.8","107.4"
"","Dyson Daniels","Atl","G","21.9","39","33.5","17.9","12.9","54","0.556","335","0.534","145","0.303","0.51","0.516","13.3","5.1","3.5","3","0.8","1.8","18.4","16.8","21.9","7.4","104.5","108.7"
"","Bobby Portis","Mil","F","30","40","24.7","23.9","9.5","58","0.81","325","0.508","142","0.366","0.52","0.541","13.3","7.9","2","0.7","0.5","1.2","21.3","15.3","23.2","9.6","109.3","104"
"","Tobias Harris","Det","F","32.5","42","32.4","17.2","9.6","89","0.865","295","0.502","167","0.353","0.512","0.549","13.1","6.2","2.5","0.8","0.8","1.2","19.3","15.6","21.8","7.3","113","110.3"
"","Amen Thompson","Hou","G-F","22","40","30.1","17.3","17.7","149","0.691","310","0.606","53","0.245","0.572","0.604","13","8","2.5","1.4","1.1","2","20.9","15.5","23.5","8.5","117.9","102.8"
"","Russell Westbrook","Den","G","36.2","43","27.2","23","22","138","0.645","294","0.531","155","0.342","0.524","0.549","13","5","6.6","1.5","0.5","3","18","19.6","24.7","11.1","108.7","106.3"
"","Moritz Wagner","Orl","F-C","27.7","30","18.8","26.7","16.4","110","0.718","174","0.649","75","0.36","0.616","0.649","12.9","4.9","1.4","0.8","0.4","1.6","17.8","14.3","19.2","9.5","116.8","100.5"
"","Dillon Brooks","Hou","G-F","29","40","32","16.9","8","63","0.841","221","0.448","237","0.367","0.501","0.527","12.8","3.7","1.6","0.8","0.3","1","16.5","14.4","18.1","5.3","112.4","103.7"
"","Santi Aldama","Mem","F-C","24","38","24.8","19.1","10.3","58","0.707","208","0.596","176","0.369","0.577","0.591","12.7","6.9","2.7","0.9","0.5","1.2","19.7","15.4","22.3","10","120.4","108.6"
"","Khris Middleton","Mil","F","33.5","18","23.5","22.9","15.2","42","0.833","104","0.548","69","0.377","0.555","0.593","12.6","3.9","5.1","0.9","0.2","1.7","16.6","17.7","21.6","10.7","118.1","104"
"","Scoot Henderson","Por","G","21","36","27","22.1","21.9","121","0.769","217","0.479","142","0.352","0.499","0.547","12.5","3","5.4","1.1","0.3","2.8","15.6","17.9","20.9","8.7","106.4","112.7"
"","D'Angelo Russell","Lal","G","28.9","29","26.3","22.2","13.8","53","0.849","143","0.51","168","0.333","0.505","0.537","12.4","2.8","4.7","0.8","0.1","1.7","15.1","17","19.8","8.3","108","112.5"
"","Bilal Coulibaly","Was","G","20.5","38","33.4","17.5","16.6","119","0.765","259","0.498","143","0.273","0.466","0.513","12.3","5.1","3.4","1.3","0.8","2.1","17.4","15.7","20.8","7.2","102.3","117.4"
"","Ayo Dosunmu","Chi","G","25","33","30.6","16.2","11.5","59","0.797","191","0.613","132","0.318","0.557","0.583","12.3","3.8","4.7","0.8","0.4","1.3","16.2","17","20.9","7.9","119.6","113.6"
"","Keldon Johnson","San","F-G","25.3","38","24.4","21.1","7.7","100","0.77","238","0.563","143","0.287","0.513","0.551","12.3","5","1.4","0.7","0.3","0.8","17.3","13.8","18.7","7.2","112.4","111.3"
"","Buddy Hield","Gol","G","32.1","43","23.6","21.6","10.5","38","0.842","140","0.507","311","0.379","0.55","0.564","12.3","3.3","1.6","0.9","0.3","1.2","15.6","13.8","17.1","6.8","107.3","109.1"
"","Daniel Gafford","Dal","F-C","26.3","42","20.6","19.9","14","141","0.688","294","0.704","0","0","0.704","0.718","12.2","6.4","1.2","0.5","1.6","1.1","18.5","13.4","19.8","8.8","135.8","102.1"
