"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Moses Brown","Ind","C","25.3","9","5.1","26.8","22.8","5","0.6","20","0.65","0","0","0.65","0.653","3.2","1.4","0","0.2","0.1","0.7","4.7","3.2","4.7","0","98.5","102.1"
"","Bol Bol","Pho","C-F","25.2","11","6","22.4","17.1","10","0.6","13","0.769","11","0.273","0.604","0.616","3.2","1.6","0.1","0","0.2","0.5","4.8","3.3","4.9","5.3","107.2","116.7"
"","Reed Sheppard","Hou","G","20.6","32","11.2","16.6","13.3","6","0.833","51","0.373","73","0.274","0.395","0.407","3.2","1.3","1.2","0.5","0.3","0.6","4.5","4.4","5.6","6.1","91.6","105.4"
"","Drew Peterson","Bos","F","25.2","11","9.9","12","18.3","7","0.857","5","0.8","17","0.412","0.659","0.698","3.2","2.1","0.7","0.2","0.2","0.5","5.3","3.9","6","6.8","129.8","103.7"
"","Jevon Carter","Chi","G","29.4","19","6.5","19.9","12.7","8","0.75","16","0.5","32","0.406","0.573","0.592","3.2","0.8","0.7","0.3","0.1","0.4","4","3.9","4.7","7.5","111.8","116.6"
"","Nicolas Batum","Lac","G-F","36.1","42","17.7","8.3","14.5","13","0.769","22","0.409","96","0.375","0.534","0.55","3.2","2.9","1.4","0.6","0.4","0.5","6.1","4.6","7.5","5.3","117.5","103.8"
"","Branden Carlson","Okc","C","25.6","14","6.6","17.2","5.5","2","1","7","0.571","27","0.407","0.603","0.616","3.1","1.8","0.4","0.1","0.4","0.1","4.9","3.5","5.3","7.9","126.2","98.5"
"","Maxi Kleber","Dal","F","33","32","18.9","8.3","20.1","19","0.789","44","0.545","43","0.279","0.483","0.519","3.1","2.8","1.2","0.3","0.5","0.7","5.9","4.3","7.1","4.6","106.4","107.2"
"","Damion Lee","Pho","G-F","32.3","10","6","28.4","14.5","10","1","14","0.429","15","0.2","0.362","0.464","3.1","0.9","0.7","0.2","0","0.5","4","3.8","4.7","8.3","94.1","116.7"
"","Maxwell Lewis","Bro","F","22.5","1","1.1","39.9","0","0","0","0","0","1","1","1.5","1.5","3","0","0","0","0","0","3","3","3","0","0","0"
"","Pete Nance","Phi","F","24.9","5","12.1","11.6","0","2","0.5","3","0.333","12","0.333","0.467","0.472","3","1.8","0.6","0.2","0","0","4.8","3.6","5.4","4.9","111.8","102.2"
"","Taze Moore","Por","G","26.6","2","10","27.1","16.4","2","0.5","6","0.167","4","0.25","0.25","0.276","3","4","0.5","1","0","1","7","3.5","7.5","7.3","71.3","116.7"
"","David Duke Jr.","San","G","25.3","1","8.2","25.5","0","2","0.5","3","0.333","1","0","0.25","0.307","3","0","2","0","0","0","3","5","5","0","88.5","110.5"
"","Luka Garza","Min","C","26.1","13","4.3","27.8","12.4","8","0.625","20","0.7","8","0.25","0.607","0.619","3","0.9","0.1","0.1","0","0.3","3.9","3.1","4","6","109.6","99.6"
"","Caleb Houstan","Orl","G","22","32","12.3","11.4","5","9","1","12","0.333","82","0.317","0.457","0.485","3","1","0.5","0.2","0.1","0.2","4","3.4","4.4","3.7","107.2","106.9"
"","Brandon Williams","Dal","G","25.2","13","6.5","21.6","15.7","11","0.727","22","0.5","10","0.3","0.484","0.529","3","0.6","0.7","0.2","0","0.5","3.6","3.7","4.3","6.6","103.6","114.6"
"","Jock Landale","Hou","C","29.2","21","9.2","16.5","14.6","22","0.591","51","0.412","7","0.429","0.44","0.473","3","2.7","0.7","0.2","0.3","0.5","5.7","3.8","6.4","7.8","106.6","104.6"
"","Jae Crowder","Sac","F","34.6","7","13.1","11","18.7","6","0.833","5","0.6","12","0.25","0.441","0.509","2.9","2.4","0.6","0.4","0","0.6","5.3","3.4","5.9","4.9","105.4","105.7"
"","John Konchar","Mem","G","28.8","22","14.2","9","14.6","6","0.833","17","0.647","41","0.293","0.5","0.519","2.9","4.2","1.2","0.6","0.5","0.5","7","4","8.2","6.9","118.4","104.7"
"","A.J. Lawson","Tor","G","24.5","4","3.8","26.2","0","3","0.333","3","0.667","5","0.4","0.625","0.59","2.8","0.8","0","0","0","0","3.5","2.8","3.5","0","0","0"
"","Josh Minott","Min","F","22.2","26","7.2","16.2","10.6","9","0.778","33","0.727","26","0.231","0.559","0.58","2.8","1.1","0.5","0.4","0.3","0.3","3.9","3.3","4.4","6.4","114.7","99.6"
"","Rayan Rupert","Por","G-F","20.6","30","8.8","15.4","16.6","16","0.75","41","0.512","34","0.294","0.48","0.512","2.8","1.3","0.5","0.3","0.1","0.5","4.1","3.3","4.5","5.5","102.5","116.9"
